PLAYER_NAME,PLAYER_HEIGHT,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PLAYER_ID
"David Harrison",213.36,127.00576,Colorado,USA,2004,1,29,2758
"David Lee",205.74,112.944408,Florida,USA,2005,1,30,101135
"David Noel",198.12,104.32616,"North Carolina",USA,2006,2,39,200786
"David Nwaba",193.04,94.800728,None,USA,Undrafted,Undrafted,Undrafted,1628021
"David Wesley",185.42,89.811216,Baylor,USA,Undrafted,Undrafted,Undrafted,133
"David West",205.74,108.86208,Xavier,USA,2003,1,18,2561
"Davis Bertans",208.28,95.25432,None,Latvia,2011,2,42,202722
"De'Aaron Fox",190.5,79.3786,Kentucky,USA,2017,1,5,1628368
"Dean Wade",205.74,103.418976,"Kansas State",USA,Undrafted,Undrafted,Undrafted,1629731
"Deandre Ayton",215.9,113.398,Arizona,Bahamas,2018,1,1,1629028
"DeAndre' Bembry",198.12,95.25432,"Saint Joseph's",USA,2016,1,21,1627761
"De'Andre Hunter",200.66,102.0582,Virginia,USA,2019,1,4,1629631
"DeAndre Jordan",210.82,113.398,"Texas A&M",USA,2008,2,35,201599
"DeAndre Liggins",198.12,94.800728,Kentucky,USA,2011,2,53,202732
"De'Anthony Melton",193.04,90.7184,USC,USA,2018,2,46,1629001
"Dee Brown",187.96,87.089664,Jacksonville,USA,1990,1,19,200793
"Dejounte Murray",195.58,77.11064,Washington,USA,2016,1,29,1627749
"DeJuan Blair",200.66,120.20188,Pittsburgh,USA,2009,2,37,201971
"Delon Wright",195.58,86.18248,Utah,USA,2015,1,20,1626153
