,GAME_ID,TEAM_ABBREVIATION,TEAM_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON
47,11700028,MIA,30601642212,32.0,86.0,4.65,4.0,27.0,0.9830000000000001,20.0,33.0,4.694,9.0,31.0,40.0,13.0,9.0,9.0,20.0,21.0,88.0,-95.0,2017
48,11700029,BOS,30601642022,39.0,97.0,5.103,11.0,32.0,3.13,21.0,26.0,6.0,17.0,32.0,49.0,22.0,12.0,5.0,17.0,18.0,110.0,40.0,2017
49,11700029,PHI,32212255100,39.0,83.0,6.739000000000001,14.0,31.0,4.803,10.0,24.0,4.583,10.0,38.0,48.0,28.0,12.0,6.0,24.0,22.0,102.0,-40.0,2017
50,11700030,NYK,22548578528,35.0,77.0,6.016,10.0,23.0,2.8,20.0,23.0,4.2,9.0,37.0,46.0,22.0,7.0,3.0,29.0,22.0,100.0,-20.0,2017
51,11700030,WAS,27380416988,40.0,86.0,6.112,10.0,28.0,3.75,14.0,17.0,5.1,5.0,31.0,36.0,24.0,12.0,4.0,13.0,20.0,104.0,20.0,2017
52,11700031,ATL,30601642003,31.0,85.0,5.337,14.0,36.0,5.15,11.0,15.0,5.333,7.0,30.0,37.0,24.0,2.0,3.0,14.0,12.0,87.0,-110.0,2017
53,11700031,DET,24159191475,45.0,92.0,5.878,11.0,25.0,4.6,8.0,11.0,2.167,14.0,43.0,57.0,26.0,6.0,3.0,12.0,15.0,109.0,110.0,2017
54,11700032,CHI,25769803856,43.0,83.0,7.433,17.0,34.0,3.88,11.0,17.0,3.75,7.0,35.0,42.0,30.0,6.0,3.0,19.0,30.0,114.0,65.0,2017
55,11700032,MIL,25769803984,36.0,77.0,7.1850000000000005,9.0,28.0,3.332,20.0,31.0,4.858,5.0,31.0,36.0,22.0,8.0,2.0,14.0,17.0,101.0,-65.0,2017
56,11700033,NOP,30601642060,32.0,82.0,5.359,10.0,32.0,3.166,17.0,26.0,4.834,6.0,37.0,43.0,15.0,7.0,4.0,15.0,20.0,91.0,-55.0,2017
57,11700033,OKC,32212255200,36.0,74.0,6.741,11.0,32.0,3.512,19.0,30.0,3.717,3.0,43.0,46.0,22.0,5.0,3.0,20.0,25.0,102.0,55.0,2017
58,11700034,PHX,32212255120,32.0,74.0,4.801,13.0,27.0,4.5329999999999995,24.0,29.0,6.425,4.0,35.0,39.0,19.0,6.0,9.0,20.0,24.0,101.0,-55.0,2017
59,11700034,UTA,32212255240,40.0,97.0,5.556,10.0,28.0,3.416,22.0,30.0,7.2620000000000005,19.0,34.0,53.0,22.0,10.0,3.0,14.0,22.0,112.0,55.0,2017
60,11700035,CLE,32212254780,40.0,87.0,6.875,9.0,29.0,2.783,13.0,22.0,4.667,12.0,39.0,51.0,25.0,8.0,3.0,19.0,21.0,102.0,-20.0,2017
61,11700035,IND,32212255080,39.0,83.0,6.527,9.0,29.0,2.8,19.0,27.0,6.334,7.0,34.0,41.0,27.0,11.0,4.0,14.0,17.0,106.0,20.0,2017
62,11700036,SAC,30601642402,38.0,82.0,6.007,4.0,15.0,2.833,11.0,15.0,3.667,10.0,21.0,31.0,18.0,7.0,1.0,12.0,15.0,91.0,-100.0,2017
63,11700036,SAS,30601642421,45.0,82.0,8.165,15.0,32.0,4.446,6.0,7.0,2.75,11.0,32.0,43.0,28.0,8.0,10.0,17.0,16.0,111.0,100.0,2017
64,11700037,MIA,30601642212,32.0,88.0,3.464,9.0,32.0,1.932,17.0,22.0,4.833,9.0,32.0,41.0,15.0,15.0,3.0,15.0,15.0,90.0,-15.0,2017
65,11700037,ORL,30601642307,38.0,82.0,4.78,5.0,20.0,2.5,12.0,17.0,4.8,12.0,42.0,54.0,17.0,9.0,12.0,23.0,24.0,93.0,15.0,2017
66,11700038,LAC,30601642174,35.0,87.0,6.016,13.0,29.0,3.738,23.0,31.0,6.133,12.0,29.0,41.0,22.0,5.0,2.0,20.0,30.0,106.0,-140.0,2017
67,11700038,POR,28991029626,45.0,85.0,7.9750000000000005,13.0,28.0,4.515000000000001,31.0,38.0,6.821,8.0,39.0,47.0,24.0,11.0,4.0,15.0,26.0,134.0,140.0,2017
68,11700040,CLE,17716740129,36.0,78.0,4.697,8.0,22.0,2.616,14.0,19.0,5.417,5.0,31.0,36.0,27.0,11.0,3.0,22.0,22.0,94.0,-40.0,2017
69,11700040,WAS,25769804224,37.0,86.0,6.087,10.0,30.0,3.917,18.0,24.0,7.083,10.0,32.0,42.0,17.0,12.0,5.0,22.0,20.0,102.0,40.0,2017
